출국자국가,국가코드,출국년월,출국자 수
한국,100,202001,2513030
한국,100,202002,1046779
한국,100,202003,143366
한국,100,202004,31425
한국,100,202005,37802
한국,100,202006,48353
한국,100,202007,65936
한국,100,202008,88888
한국,100,202009,76798
한국,100,202010,71970
한국,100,202011,70686
한국,100,202012,80973
한국,100,202101,86143
한국,100,202102,68213
한국,100,202103,73999
한국,100,202104,71302
한국,100,202105,75416
한국,100,202106,79446
한국,100,202107,101963
한국,100,202108,137712
한국,100,202109,116615
한국,100,202110,124399
한국,100,202111,147907
한국,100,202112,139426
한국,100,202201,147434
한국,100,202202,112722
한국,100,202203,145503
한국,100,202204,215246
한국,100,202205,315945
한국,100,202206,412798
한국,100,202207,674022
한국,100,202208,702153
한국,100,202209,619954
한국,100,202210,773480
